text,label
とても面白いです,1
簡単でわかりやすい,1
買ってよかったです,1
とても良かったです,1
素晴らしい内容でした,1
大満足です,1
おすすめです,1
最高でした,1
おもしろいです,1
やばい、最高,1
神ってる,1
めっちゃ良かった,1
控えめに言って神,1
エモい,1
尊い,1
良いです,1
気に入りました,1
楽しかったです,1
また使いたいです,1
感動しました,1
サイコー,1
神,1
愛してる,1
好き,1
品質が高い,1
コスパが良い,1
期待以上でした,1
使いやすい,1
満足度高いです,1
リピートしたい,1
価格以上の価値があります,1
想像以上に良かった,1
これは買い,1
完璧です,1
文句なし,1
毎日使ってます,1
手放せない,1
最強,1
鳥肌立った,1
泣けた,1
心に刺さった,1
神アイテム,1
コスパ最強,1
大好き,1
ずっと使いたい,1
テンション上がる,1
最高すぎる,1
めちゃくちゃ良い,1
大正解でした,1
即リピ確定,1
神すぎてやばい,1
これ好きすぎる,1
つまらないです,0
難しくて挫折しました,0
お金の無駄でした,0
最悪でした,0
がっかりしました,0
ひどい内容でした,0
全然ダメでした,0
時間の無駄でした,0
きしょい,0
うざい,0
最悪すぎる,0
ありえない,0
きつい,0
げんなりした,0
テンション下がる,0
いらいらする,0
最低でした,0
二度と使いたくない,0
ゴミでした,0
後悔しています,0
めっちゃきしょい,0
超うざい,0
きしょすぎる,0
まじ最悪,0
うざすぎる,0
ほんとにひどい,0
最悪すぎてありえない,0
うんこ,0
クソっっっ,0
品質が低い,0
コスパが悪い,0
期待外れでした,0
使いにくい,0
満足できない,0
二度と買わない,0
値段に見合わない,0
想像以上にひどかった,0
これはない,0
欠陥品,0
文句しかない,0
すぐ壊れた,0
返品したい,0
最弱,0
頭痛くなった,0
ストレス溜まった,0
心が折れた,0
クソアイテム,0
コスパ最悪,0
大嫌い,0
捨てたい,0
テンション下がりすぎ,0
最低すぎる,0
二度と見たくない,0
存在が無駄,0
買って後悔した,0
